                     Outguess  Steghide   nsF5  J-UNIWARD *
-----------------------------------------------------------
s.jpg                   0.0     [1.0]    [0.6]     0.1   
k.jpg                  [1.0]    [1.0]    [0.9]    [0.9]  
cl.jpg                  0.1     [1.0]    [0.5]    [0.9]  
t-g.jpg                [1.0]    [1.0]    [1.0]    [1.0]  
b-g-s.jpg               0.0     [1.0]     0.4      0.4   
n-g-s.jpg              [0.8]    [1.0]     0.1      0.2   
c-g-s.jpg               0.0     [1.0]     0.4      0.2   
ti-g.jpg                0.0     [1.0]    [1.0]    [0.9]  
cl-g.jpg                0.0     [0.9]    [0.8]    [1.0]  
st-s.jpg                0.0     [1.0]     0.1      0.1   
m.jpg                   0.0     [1.0]    [0.9]     0.2   
se-s.jpg               [1.0]    [1.0]     0.2     [1.0]  
fo-g-s.jpg             [1.0]    [1.0]     0.2     [1.0]  
s-g.jpg                 0.0     [1.0]    [0.8]     0.0   
fo-s.jpg               [1.0]    [1.0]     0.5     [1.0]  
c-s.jpg                 0.0     [0.9]     0.2      0.0   
t.jpg                  [1.0]    [1.0]    [0.9]    [0.9]  
se-g-s.jpg             [1.0]    [1.0]    [0.9]    [1.0]  
n-s.jpg                [0.6]    [1.0]     0.1      0.1   
st-g-s.jpg              0.0     [1.0]     0.2      0.1   
r-g-s.jpg               0.0     [1.0]    [0.9]     0.3   
p-s.jpg                [1.0]    [1.0]    [0.9]    [1.0]  
f.jpg                   0.0     [1.0]    [0.9]    [0.9]  
p-g-s.jpg              [1.0]    [1.0]    [1.0]    [1.0]  
k-g.jpg                 0.2     [1.0]    [0.9]    [0.9]  
f-g.jpg                 0.0     [1.0]    [0.8]    [1.0]  
ti.jpg                  0.0     [1.0]    [0.9]     0.4   
r-s.jpg                [1.0]    [1.0]    [1.0]     0.1   
m-g.jpg                 0.0     [1.0]    [0.9]     0.1   
b-s.jpg                 0.0     [1.0]     0.4      0.1   

* Probability of being stego using the indicated steganographic method.

