Name,Size,DimensionsColor,MSE,PSNR
b-g-s.jpg,19644.00 B,512X512,grayscale,119.68306732177734,18.785354018121012
b-g.jpg,23177.00 B,512X512,grayscale,119.68306732177734,18.785354018121012
b-s.jpg,20188.00 B,512X512,colourful,317.88481521606445,6.242147424698592
b.jpg,21569.00 B,512X512,colourful,317.88481521606445,6.242147424698592
c-g-s.jpg,32648.00 B,512X512,grayscale,80.47506332397461,17.659415590019954
c-g.jpg,38918.00 B,512X512,grayscale,80.47506332397461,17.659415590019954
c-s.jpg,36330.00 B,512X512,colourful,27.478721618652344,4.566778746419834
c.jpg,38343.00 B,512X512,colourful,27.478721618652344,4.566778746419834
fo-g-s.jpg,25372.00 B,512X512,grayscale,71.01217269897461,18.865315645096043
fo-g.jpg,28985.00 B,512X512,grayscale,71.01217269897461,18.865315645096043
fo-s.jpg,29250.00 B,512X512,colourful,248.05278396606445,5.853673376893954
fo.jpg,30977.00 B,512X512,colourful,248.05278396606445,5.853673376893954
n-g-s.jpg,36070.00 B,512X512,grayscale,131.21181106567383,15.60049304238162
n-g.jpg,42337.00 B,512X512,grayscale,131.21181106567383,15.60049304238162
n-s.jpg,40366.00 B,512X512,colourful,165.11515045166016,10.221107565070714
n.jpg,42114.00 B,512X512,colourful,165.11515045166016,10.221107565070714
p-g-s.jpg,25344.00 B,512X512,grayscale,138.13769149780273,21.763148739278293
p-g.jpg,28820.00 B,512X512,grayscale,138.13769149780273,21.763148739278293
p-s.jpg,28189.00 B,512X512,colourful,140.36309814453125,11.55559016675128
p.jpg,30107.00 B,512X512,colourful,140.36309814453125,11.55559016675128
r-g-s.jpg,32989.00 B,512X512,grayscale,123.53145599365234,20.320071536910124
r-g.jpg,38225.00 B,512X512,grayscale,123.53145599365234,20.320071536910124
r-s.jpg,35645.00 B,512X512,colourful,121.65193557739258,11.672423212214209
r.jpg,37486.00 B,512X512,colourful,121.65193557739258,11.672423212214209
se-g-s.jpg,26609.00 B,512X512,grayscale,127.32573318481445,24.80331533088365
se-g.jpg,30648.00 B,512X512,grayscale,127.32573318481445,24.80331533088365
se-s.jpg,28556.00 B,512X512,colourful,178.89763641357422,9.298200363029498
se.jpg,30543.00 B,512X512,colourful,178.89763641357422,9.298200363029498
st-g-s.jpg,42837.00 B,512X512,grayscale,124.44696807861328,19.323021493348637
st-g.jpg,50011.00 B,512X512,grayscale,124.44696807861328,19.323021493348637
