Name,Size,DimensionsColor,MSE,PSNR
b-g-s.jpg,18860.00 B,512X512,grayscale,119.21293640136719,18.776842043835867
b-g.jpg,23177.00 B,512X512,grayscale,119.21293640136719,18.776842043835867
b-s.jpg,19484.00 B,512X512,colourful,317.13226318359375,6.243181352540318
b.jpg,21569.00 B,512X512,colourful,317.13226318359375,6.243181352540318
c-g-s.jpg,30837.00 B,512X512,grayscale,82.04561996459961,17.646625485460767
c-g.jpg,38918.00 B,512X512,grayscale,82.04561996459961,17.646625485460767
c-s.jpg,34499.00 B,512X512,colourful,27.33905792236328,4.555650403693113
c.jpg,38343.00 B,512X512,colourful,27.33905792236328,4.555650403693113
fo-g-s.jpg,24038.00 B,512X512,grayscale,71.21293640136719,18.85871933752705
fo-g.jpg,28985.00 B,512X512,grayscale,71.21293640136719,18.85871933752705
fo-s.jpg,27767.00 B,512X512,colourful,248.07424926757812,5.865427969631253
fo.jpg,30977.00 B,512X512,colourful,248.07424926757812,5.865427969631253
n-g-s.jpg,33976.00 B,512X512,grayscale,131.05583953857422,15.59814899938759
n-g.jpg,42337.00 B,512X512,grayscale,131.05583953857422,15.59814899938759
n-s.jpg,38179.00 B,512X512,colourful,164.9997787475586,10.202653020335884
n.jpg,42114.00 B,512X512,colourful,164.9997787475586,10.202653020335884
p-g-s.jpg,23963.00 B,512X512,grayscale,142.02325439453125,21.754148796454217
p-g.jpg,28820.00 B,512X512,grayscale,142.02325439453125,21.754148796454217
p-s.jpg,26709.00 B,512X512,colourful,139.89524841308594,11.544275671614102
p.jpg,30107.00 B,512X512,colourful,139.89524841308594,11.544275671614102
r-g-s.jpg,31108.00 B,512X512,grayscale,119.3858413696289,20.308396576105746
r-g.jpg,38225.00 B,512X512,grayscale,119.3858413696289,20.308396576105746
r-s.jpg,33734.00 B,512X512,colourful,120.84149932861328,11.654804787885178
r.jpg,37486.00 B,512X512,colourful,120.84149932861328,11.654804787885178
se-g-s.jpg,25220.00 B,512X512,grayscale,122.83779907226562,24.774371378579723
se-g.jpg,30648.00 B,512X512,grayscale,122.83779907226562,24.774371378579723
se-s.jpg,27159.00 B,512X512,colourful,178.58822631835938,9.296831467372808
se.jpg,30543.00 B,512X512,colourful,178.58822631835938,9.296831467372808
st-g-s.jpg,40393.00 B,512X512,grayscale,123.53585433959961,19.312939760897613
st-g.jpg,50011.00 B,512X512,grayscale,123.53585433959961,19.312939760897613
