Name,Color,Mean Stego Images Size,Standard Deviation of Stego Images Sizes,Non-Stego Size - Stego Image Size,Mean Stego Images MSE,Standard Deviation of Stego Images MSE,MSE values for respective embeddings,Mean PSNR,Standard Deviation PSNR,PSNR values for respective embeddings
b-g-s.jpg,grayscale,27099.4,25.78061287091523,"[-3901.0, -3895.0, -3909.0, -3953.0, -3954.0]",0.05376205444335934,0.030057594159226316,"[0.0172538757324218, 0.0309600830078125, 0.0423622131347656, 0.0849571228027343, 0.0932769775390625]",61.62352024013669,2.7449668787790893,"[65.76193695073653, 63.22278244458264, 61.8610171993508, 58.8388056489952, 58.43305895701829]"
b-s.jpg,colourful,19915.8,32.9872702720307,"[1691.0, 1679.0, 1665.0, 1629.0, 1602.0]",0.2978802998860677,0.16879330619778182,"[0.1061045328776041, 0.1547660827636718, 0.2339121500651041, 0.4693768819173177, 0.5252418518066406]",54.178116551683786,2.688907922115004,"[57.87346423133584, 56.23404570428789, 54.44027579977168, 51.41558665258057, 50.92721037044298]"
c-g-s.jpg,grayscale,44737.2,21.188676221038445,"[-5801.0, -5835.0, -5815.0, -5794.0, -5851.0]",0.06027832031249995,0.03546061905552246,"[0.0198707580566406, 0.0319976806640625, 0.0442733764648437, 0.1001663208007812, 0.1050834655761718]",61.18734023126941,2.8141398345241724,"[65.14865925386874, 63.079618610262656, 61.6693771659106, 58.12358638828563, 57.91545973801941]"
c-s.jpg,colourful,35839.8,12.671227249165726,"[2510.0, 2520.0, 2507.0, 2496.0, 2483.0]",0.3568593343098958,0.2115884528765125,"[0.107696533203125, 0.2085278828938802, 0.2548713684082031, 0.5585314432779948, 0.654669443766276]",53.48929039578388,2.8802410463892016,"[57.80878637467659, 54.93916226846747, 54.06759310179857, 50.66032733536717, 49.97058289860963]"
fo-g-s.jpg,grayscale,33767.4,16.032467059064867,"[-4793.0, -4799.0, -4792.0, -4756.0, -4772.0]",0.05491790771484373,0.030029421375760913,"[0.0188941955566406, 0.0311203002929687, 0.0441207885742187, 0.0860595703125, 0.0943946838378906]",61.48327928741654,2.645402461620926,"[65.36751954837116, 63.20036581838497, 61.68437094851996, 58.78281187508267, 58.38132824672397]"
fo-s.jpg,colourful,28778.8,18.45426779907564,"[2223.0, 2211.0, 2200.0, 2187.0, 2170.0]",0.40906855265299474,0.24724615881079115,"[0.1506233215332031, 0.1993624369303385, 0.2829615275065104, 0.6714973449707031, 0.7408981323242188]",52.87867211833289,2.781105061487035,"[56.3518814047049, 55.13437027206399, 53.61352969610205, 49.86036061014111, 49.43321860865239]"
n-g-s.jpg,grayscale,49156.8,19.425756098540926,"[-6843.0, -6800.0, -6838.0, -6823.0, -6795.0]",0.05535430908203122,0.031320747594292396,"[0.0192298889160156, 0.0305747985839843, 0.0419502258300781, 0.0877418518066406, 0.0972747802734375]",61.48424013301093,2.6868640423518637,"[65.29103585381422, 63.277167561294085, 61.90346057765342, 58.69873564843675, 58.25080102385616]"
n-s.jpg,colourful,39748.2,11.98999582985749,"[2387.0, 2364.0, 2369.0, 2354.0, 2355.0]",0.32581329345703125,0.19372681770949343,"[0.1103680928548177, 0.1645075480143229, 0.2393519083658854, 0.5423227945963541, 0.572516123453776]",53.87057992344866,2.821851843498453,"[57.702368228000864, 55.96894531616776, 54.34043466382428, 50.788225020356926, 50.55292638889344]"
p-g-s.jpg,grayscale,33491.4,11.42978564978364,"[-4661.0, -4676.0, -4674.0, -4689.0, -4657.0]",0.052683258056640606,0.029768182420625743,"[0.01824951171875, 0.0287017822265625, 0.0403976440429687, 0.0848960876464843, 0.0911712646484375]",61.70227999312999,2.69616116220335,"[65.51829111839217, 63.55171495941231, 62.06724322712087, 58.84192684201031, 58.532223818714336]"
p-s.jpg,colourful,27679.0,5.966573556070519,"[2439.0, 2426.0, 2428.0, 2426.0, 2421.0]",0.29886881510416663,0.18235174543818072,"[0.1007308959960937, 0.1500498453776041, 0.2101567586263021, 0.484442392985026, 0.5489641825358073]",54.277348086672234,2.860522165967226,"[58.09917663872983, 56.36844808635782, 54.90536999422437, 51.27838220133724, 50.73536351271191]"
r-g-s.jpg,grayscale,44429.8,13.377593206552515,"[-6206.0, -6191.0, -6189.0, -6214.0, -6224.0]",0.05340957641601558,0.03015716290466447,"[0.0181999206542968, 0.030242919921875, 0.0399703979492187, 0.0869178771972656, 0.0917167663574218]",61.64282454519842,2.6991271295340096,"[65.53010866260647, 63.32456641342353, 62.11341888707644, 58.73971249901104, 58.506316263874666]"
r-s.jpg,colourful,35043.6,5.4626001134990645,"[2444.0, 2443.0, 2445.0, 2432.0, 2448.0]",0.27463531494140625,0.16981560949829114,"[0.0815416971842448, 0.1486740112304687, 0.1883761088053385, 0.4503211975097656, 0.5042635599772135]",54.70116240259313,2.98615111704821,"[59.0170061438359, 56.40845302000474, 55.380545392260565, 51.59557970323262, 51.10422775363181]"
